is_pluie,is_weekend,is_ferie,mois,k_moyen,jour,population,meteo_temp_min,meteo_temp_moy,jour_semaine_num,q_moyen,trimestre,meteo_temp_max,semaine_annee,meteo_precipitations,trafic_eleve,annee,ratio_saturation,saison_ete,saison_hiver,saison_printemps,jour_semaine_Monday,jour_semaine_Saturday,jour_semaine_Sunday,jour_semaine_Thursday,jour_semaine_Tuesday,jour_semaine_Wednesday
0,0,0,6,6.045332544910179,3,185914,9.3,17.2,0,320.1976047904192,2,24.6,23,0.0,1,2024,0.0188212254847129,1,0,0,1,0,0,0,0,0
0,0,0,6,3.96222,3,185914,9.3,17.2,0,309.4791666666667,2,24.6,23,0.0,0,2024,0.012355507797346572,1,0,0,1,0,0,0,0,0
0,0,0,6,3.96222,3,185914,9.3,17.2,0,309.4791666666667,2,24.6,23,0.0,0,2024,0.012355507797346572,1,0,0,1,0,0,0,0,0
1,1,0,6,3.96222,1,137426,12.9,13.3,5,309.4791666666667,2,14.4,22,3.6,0,2024,0.012355507797346572,1,0,0,0,1,0,0,0,0
1,1,0,6,3.96222,1,137426,12.9,13.3,5,309.4791666666667,2,14.4,22,3.6,0,2024,0.012355507797346572,1,0,0,0,1,0,0,0,0
1,1,0,6,3.96222,1,185914,12.9,13.3,5,309.4791666666667,2,14.4,22,3.6,0,2024,0.012355507797346572,1,0,0,0,1,0,0,0,0
1,1,0,6,3.96222,1,185914,12.9,13.3,5,309.4791666666667,2,14.4,22,3.6,0,2024,0.012355507797346572,1,0,0,0,1,0,0,0,0
0,0,0,6,3.96222,3,84310,9.3,17.2,0,309.4791666666667,2,24.6,23,0.0,0,2024,0.012355507797346572,1,0,0,1,0,0,0,0,0
0,0,0,6,3.96222,3,84310,9.3,17.2,0,309.4791666666667,2,24.6,23,0.0,0,2024,0.012355507797346572,1,0,0,1,0,0,0,0,0
0,0,0,6,4.345,3,57934,9.3,17.2,0,479.4431137724551,2,24.6,23,0.0,1,2024,0.009043734576364135,1,0,0,1,0,0,0,0,0
0,0,0,6,4.345,3,57934,9.3,17.2,0,479.4431137724551,2,24.6,23,0.0,1,2024,0.009043734576364135,1,0,0,1,0,0,0,0,0
0,0,0,6,3.96222,3,48784,9.3,17.2,0,309.4791666666667,2,24.6,23,0.0,0,2024,0.012355507797346572,1,0,0,1,0,0,0,0,0
0,0,0,6,3.96222,3,48784,9.3,17.2,0,309.4791666666667,2,24.6,23,0.0,0,2024,0.012355507797346572,1,0,0,1,0,0,0,0,0
0,0,0,6,12.882335329341316,3,231476,9.3,17.2,0,3637.071856287426,2,24.6,23,0.0,1,2024,0.003540978803669772,1,0,0,1,0,0,0,0,0
0,0,0,6,12.882335329341316,3,231476,9.3,17.2,0,3637.071856287426,2,24.6,23,0.0,1,2024,0.003540978803669772,1,0,0,1,0,0,0,0,0
0,0,0,6,12.139573922155687,3,15207,9.3,17.2,0,228.0479041916168,2,24.6,23,0.0,0,2024,0.053000152806462565,1,0,0,1,0,0,0,0,0
0,0,0,6,12.139573922155687,3,15207,9.3,17.2,0,228.0479041916168,2,24.6,23,0.0,0,2024,0.053000152806462565,1,0,0,1,0,0,0,0,0
0,1,0,6,3.96222,2,183839,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
0,1,0,6,3.96222,2,183839,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
0,1,0,6,3.96222,2,183839,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
0,1,0,6,3.96222,2,183839,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
0,1,0,6,1.3765025208333335,2,185914,12.4,14.6,6,181.80208333333331,2,19.0,22,0.0,0,2024,0.00753001549945866,1,0,0,0,0,1,0,0,0
0,1,0,6,1.3765025208333335,2,185914,12.4,14.6,6,181.80208333333331,2,19.0,22,0.0,0,2024,0.00753001549945866,1,0,0,0,0,1,0,0,0
0,1,0,6,3.96222,2,185914,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
0,1,0,6,3.96222,2,185914,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
0,1,0,6,3.96222,2,179566,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
0,1,0,6,3.96222,2,179566,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
0,1,0,6,3.96222,2,179566,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
0,1,0,6,3.6846494791666666,2,183839,12.4,14.6,6,184.66041666666666,2,19.0,22,0.0,0,2024,0.01984617693593815,1,0,0,0,0,1,0,0,0
0,1,0,6,3.6846494791666666,2,183839,12.4,14.6,6,184.66041666666666,2,19.0,22,0.0,0,2024,0.01984617693593815,1,0,0,0,0,1,0,0,0
0,1,0,6,3.96222,2,160526,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
0,1,0,6,3.96222,2,231476,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
0,1,0,6,3.96222,2,231476,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
0,1,0,6,3.96222,2,84310,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
0,1,0,6,3.96222,2,84310,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
0,1,0,6,3.96222,2,48784,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
0,1,0,6,3.96222,2,48784,12.4,14.6,6,309.4791666666667,2,19.0,22,0.0,0,2024,0.012355507797346572,1,0,0,0,0,1,0,0,0
1,0,0,10,3.96222,17,183839,16.3,16.8,3,309.4791666666667,4,19.1,42,47.1,0,2024,0.012355507797346572,0,0,0,0,0,0,1,0,0
1,0,0,10,3.96222,17,183839,16.3,16.8,3,309.4791666666667,4,19.1,42,47.1,0,2024,0.012355507797346572,0,0,0,0,0,0,1,0,0
1,0,0,10,3.96222,17,183839,16.3,16.8,3,309.4791666666667,4,19.1,42,47.1,0,2024,0.012355507797346572,0,0,0,0,0,0,1,0,0
1,0,0,10,3.96222,17,183839,16.3,16.8,3,309.4791666666667,4,19.1,42,47.1,0,2024,0.012355507797346572,0,0,0,0,0,0,1,0,0
1,0,0,10,3.96222,17,183839,16.3,16.8,3,309.4791666666667,4,19.1,42,47.1,0,2024,0.012355507797346572,0,0,0,0,0,0,1,0,0
1,0,0,10,3.96222,17,183839,16.3,16.8,3,309.4791666666667,4,19.1,42,47.1,0,2024,0.012355507797346572,0,0,0,0,0,0,1,0,0
1,0,0,10,3.96222,17,183839,16.3,16.8,3,309.4791666666667,4,19.1,42,47.1,0,2024,0.012355507797346572,0,0,0,0,0,0,1,0,0
1,0,0,10,3.96222,17,183839,16.3,16.8,3,309.4791666666667,4,19.1,42,47.1,0,2024,0.012355507797346572,0,0,0,0,0,0,1,0,0
1,0,0,10,3.96222,17,183839,16.3,16.8,3,309.4791666666667,4,19.1,42,47.1,0,2024,0.012355507797346572,0,0,0,0,0,0,1,0,0
1,0,0,10,3.96222,17,183839,16.3,16.8,3,309.4791666666667,4,19.1,42,47.1,0,2024,0.012355507797346572,0,0,0,0,0,0,1,0,0
1,0,0,10,3.96222,17,41158,16.3,16.8,3,309.4791666666667,4,19.1,42,47.1,0,2024,0.012355507797346572,0,0,0,0,0,0,1,0,0
1,0,0,10,3.96222,17,41158,16.3,16.8,3,309.4791666666667,4,19.1,42,47.1,0,2024,0.012355507797346572,0,0,0,0,0,0,1,0,0
0,0,0,10,3.96222,18,179566,12.7,14.1,4,309.4791666666667,4,15.3,42,0.2,0,2024,0.012355507797346572,0,0,0,0,0,0,0,0,0
